screen,symbol,averageAnalystRating,regularMarketPrice,customPriceAlertConfidence,fiftyTwoWeekRange,sharesOutstanding,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketVolume,averageDailyVolume10Day,averageDailyVolume3Month,marketCap,bookValue,longName
advertising_agencies,OMC,2.4 - Buy,88.76,LOW,72.2 - 99.23,197934000.0,72.2,99.23,1245246.0,1372660.0,1315638.0,17568622592.0,16.312,Omnicom Group Inc.
advertising_agencies,IPG,2.4 - Buy,31.97,LOW,27.2 - 40.95,383004000.0,27.2,40.95,2503951.0,3229320.0,3679943.0,12244637696.0,9.609,"The Interpublic Group of Companies, Inc."
advertising_agencies,WPP,3.5 - Hold,46.5,LOW,41.13 - 64.07,214968000.0,41.13,64.07,116325.0,149660.0,156383.0,9996011520.0,3.395,WPP plc
advertising_agencies,ZD,2.3 - Buy,65.8,HIGH,57.97 - 94.06,45984800.0,57.97,94.06,241784.0,235600.0,282646.0,3025799936.0,39.233,"Ziff Davis, Inc."
advertising_agencies,IAS,1.8 - Buy,14.75,HIGH,9.28 - 20.875,158283008.0,9.28,20.875,520588.0,1312070.0,1037909.0,2334674432.0,5.575,Integral Ad Science Holding Corp.
advertising_agencies,CMPR,1.5 - Strong Buy,73.44,HIGH,26.52 - 83.36,26590000.0,26.52,83.36,105477.0,95360.0,108848.0,1952769664.0,-23.105,Cimpress plc
advertising_agencies,STGW,2.4 - Buy,6.5,HIGH,3.83 - 9.23,121432000.0,3.83,9.23,571154.0,439980.0,792387.0,1775026432.0,2.855,Stagwell Inc.
advertising_agencies,CRTO,2.4 - Buy,24.225,HIGH,22.1 - 36.76,56420400.0,22.1,36.76,242053.0,211940.0,316345.0,1366784256.0,17.869,Criteo S.A.
advertising_agencies,MGNI,2.1 - Buy,9.15,HIGH,6.28 - 15.73,137851008.0,6.28,15.73,912154.0,797420.0,1039779.0,1261336704.0,4.732,"Magnite, Inc."
advertising_agencies,DLX,2.5 - Buy,20.05,LOW,13.61 - 21.97,43692500.0,13.61,21.97,109351.0,209920.0,222246.0,876034560.0,13.707,Deluxe Corporation
advertising_agencies,QNST,1.7 - Buy,11.72,HIGH,6.79 - 18.18,54579000.0,6.79,18.18,163101.0,399690.0,450583.0,639665920.0,4.068,"QuinStreet, Inc."
advertising_agencies,BOC,2.0 - Buy,15.47,LOW,13.55 - 28.3,30249400.0,13.55,28.3,85448.0,114120.0,154058.0,484288352.0,17.281,Boston Omaha Corporation
advertising_agencies,EEX,1.7 - Buy,6.0,LOW,3.26 - 6.42,62892400.0,3.26,6.42,28524.0,49880.0,62514.0,377354400.0,-1.045,"Emerald Holding, Inc."
advertising_agencies,TSQ,1.3 - Strong Buy,10.68,LOW,7.08 - 12.65,13680700.0,7.08,12.65,28981.0,38490.0,40822.0,175763968.0,0.541,"Townsquare Media, Inc."
advertising_agencies,TZOO,1.7 - Buy,9.28,HIGH,4.51 - 10.86,13971800.0,4.51,10.86,60959.0,73520.0,157256.0,129658304.0,0.143,Travelzoo
aerospace_defense,BA,1.8 - Buy,217.7,LOW,176.25 - 267.54,604977024.0,176.25,267.54,11285521.0,12313480.0,6907566.0,131703496704.0,-27.669,The Boeing Company
aerospace_defense,RTX,2.8 - Hold,86.33,LOW,68.56 - 104.91,1437900032.0,68.56,104.91,5277301.0,6835220.0,9728601.0,124133908480.0,48.06,RTX Corporation
aerospace_defense,LMT,2.7 - Hold,463.18,LOW,393.77 - 508.1,248099008.0,393.77,508.1,966475.0,887150.0,1214901.0,114914500608.0,37.547,Lockheed Martin Corporation
aerospace_defense,NOC,2.6 - Hold,481.08,LOW,414.56 - 496.89,150792992.0,414.56,496.89,701359.0,624400.0,729924.0,72543494144.0,105.578,Northrop Grumman Corporation
aerospace_defense,GD,2.1 - Buy,254.81,LOW,202.35 - 261.39,272896992.0,202.35,261.39,1107546.0,1123630.0,1137611.0,69536882688.0,73.261,General Dynamics Corporation
aerospace_defense,TDG,2.0 - Buy,1032.83,LOW,659.59 - 1033.81,55314100.0,659.59,1033.81,146182.0,211250.0,222693.0,57130057728.0,-35.873,TransDigm Group Incorporated
aerospace_defense,LHX,2.2 - Buy,207.8,LOW,160.25 - 219.31,189540000.0,160.25,219.31,1049640.0,1102360.0,1316662.0,39386411008.0,98.269,"L3Harris Technologies, Inc."
aerospace_defense,HWM,2.0 - Buy,55.54,LOW,38.17 - 55.9,411744000.0,38.17,55.9,2259184.0,2711950.0,2424727.0,22868262912.0,9.265,Howmet Aerospace Inc.
aerospace_defense,HEI-A,,136.08,LOW,121.43 - 150.42,83534304.0,121.43,150.42,503962.0,505200.0,283577.0,20826361856.0,22.759,HEICO Corporation
aerospace_defense,HEI,2.2 - Buy,172.86,LOW,153.63 - 191.0,54720600.0,153.63,191.0,337119.0,293860.0,330787.0,20826345472.0,22.759,HEICO Corporation
aerospace_defense,AXON,1.9 - Buy,250.69,HIGH,168.3 - 260.69,74933800.0,168.3,260.69,485081.0,423470.0,436314.0,18785155072.0,20.3,"Axon Enterprise, Inc."
aerospace_defense,TXT,2.4 - Buy,79.38,LOW,61.27 - 81.59,196004992.0,61.27,81.59,1029624.0,1009020.0,1232485.0,15558876160.0,36.021,Textron Inc.
aerospace_defense,HII,2.6 - Hold,254.68,LOW,188.51 - 261.42,39723500.0,188.51,261.42,204778.0,242200.0,274014.0,10116781056.0,93.841,"Huntington Ingalls Industries, Inc."
aerospace_defense,ESLT,3.0 - Hold,206.64,HIGH,162.01 - 225.22,44453800.0,162.01,225.22,6636.0,17870.0,29075.0,9185933312.0,64.086,Elbit Systems Ltd.
aerospace_defense,CW,1.3 - Strong Buy,222.5,LOW,156.76 - 224.74,38241200.0,156.76,224.74,106482.0,148530.0,175766.0,8508666880.0,57.109,Curtiss-Wright Corporation
aerospace_defense,WWD,2.6 - Hold,139.45,HIGH,88.3 - 140.73,60058100.0,88.3,140.73,254811.0,285980.0,347511.0,8375101952.0,34.612,"Woodward, Inc."
aerospace_defense,BWXT,2.1 - Buy,79.96,LOW,55.47 - 81.66,91512800.0,55.47,81.66,486550.0,540370.0,530695.0,7317363200.0,9.529,"BWX Technologies, Inc."
aerospace_defense,CAE,2.0 - Buy,21.0,LOW,18.89 - 25.04,318273984.0,18.89,25.04,254379.0,288240.0,331295.0,6697844736.0,14.556,CAE Inc.
aerospace_defense,HXL,2.5 - Buy,71.73,LOW,58.81 - 79.08,84111296.0,58.81,79.08,314627.0,377440.0,484690.0,6033303552.0,19.576,Hexcel Corporation
aerospace_defense,DRS,1.6 - Buy,19.35,HIGH,10.8 - 20.95,262370000.0,10.8,20.95,354267.0,678490.0,1104962.0,5076859392.0,8.556,"Leonardo DRS, Inc."
