,screen_name
0,advertising_agencies
1,aerospace_defense
2,aggressive_small_caps
3,agricultural_inputs
4,airlines
5,airports_air_services
6,all_cryptocurrencies_au
7,all_cryptocurrencies_ca
8,all_cryptocurrencies_eu
9,all_cryptocurrencies_gb
10,all_cryptocurrencies_in
11,all_cryptocurrencies_us
12,aluminum
13,analyst_strong_buy_stocks
14,apparel_manufacturing
15,apparel_retail
16,asset_management
17,auto_manufacturers
18,auto_parts
19,auto_truck_dealerships
20,banks_diversified
21,banks_regional
22,bearish_stocks_right_now
23,best_hist_performance_etfs
24,best_hist_performance_etfs_asia
25,best_hist_performance_etfs_europe
26,best_hist_performance_mutual_funds
27,best_hist_performance_mutual_funds_asia
28,best_hist_performance_mutual_funds_europe
29,beverages_brewers
30,beverages_non_alcoholic
31,beverages_wineries_distilleries
32,biotechnology
33,bond_etfs
34,bond_mutual_funds
35,bond_mutual_funds_asia
36,bond_mutual_funds_europe
37,broadcasting
38,building_materials
39,building_products_equipment
40,bullish_stocks_right_now
41,business_equipment_supplies
42,capital_markets
43,cheapest_etfs
44,cheapest_etfs_asia
45,cheapest_etfs_europe
46,cheapest_mutual_funds
47,cheapest_mutual_funds_asia
48,cheapest_mutual_funds_europe
49,chemicals
50,coking_coal
51,commodity_etfs
52,commodity_etfs_asia
53,commodity_etfs_europe
54,commodity_mutual_funds
55,communication_equipment
56,community_sentiment_most_bearish
57,community_sentiment_most_bullish
58,computer_hardware
59,confectioners
60,conglomerates
61,conservative_foreign_funds
62,consulting_services
63,consumer_electronics
64,copper
65,credit_services
66,day_gainers
67,day_gainers_americas
68,day_gainers_asia
69,day_gainers_au
70,day_gainers_br
71,day_gainers_ca
72,day_gainers_cryptocurrencies
73,day_gainers_de
74,day_gainers_dji
75,day_gainers_es
76,day_gainers_etfs
77,day_gainers_etfs_asia
78,day_gainers_etfs_europe
79,day_gainers_europe
80,day_gainers_fr
81,day_gainers_gb
82,day_gainers_hk
83,day_gainers_in
84,day_gainers_it
85,day_gainers_mutual_funds
86,day_gainers_mutual_funds_asia
87,day_gainers_mutual_funds_europe
88,day_gainers_ndx
89,day_gainers_nz
90,day_gainers_options
91,day_gainers_sg
92,day_losers
93,day_losers_americas
94,day_losers_asia
95,day_losers_au
96,day_losers_br
97,day_losers_ca
98,day_losers_cryptocurrencies
99,day_losers_de
100,day_losers_dji
101,day_losers_es
102,day_losers_etfs
103,day_losers_etfs_asia
104,day_losers_etfs_europe
105,day_losers_europe
106,day_losers_fr
107,day_losers_gb
108,day_losers_hk
109,day_losers_in
110,day_losers_it
111,day_losers_mutual_funds
112,day_losers_mutual_funds_asia
113,day_losers_mutual_funds_europe
114,day_losers_ndx
115,day_losers_nz
116,day_losers_options
117,day_losers_sg
118,department_stores
119,diagnostics_research
120,discount_stores
121,drug_manufacturers_general
122,drug_manufacturers_specialty_generic
123,education_training_services
124,electrical_equipment_parts
125,electronic_components
126,electronic_gaming_multimedia
127,electronics_computer_distribution
128,engineering_construction
129,entertainment
130,equity_mutual_funds
131,farm_heavy_construction_machinery
132,farm_products
133,fifty_two_wk_gainers
134,fifty_two_wk_gainers_asia
135,fifty_two_wk_gainers_cryptocurrencies
136,fifty_two_wk_gainers_etfs
137,fifty_two_wk_gainers_etfs_asia
138,fifty_two_wk_gainers_etfs_europe
139,fifty_two_wk_gainers_europe
140,fifty_two_wk_gainers_mutual_funds
141,fifty_two_wk_gainers_mutual_funds_asia
142,fifty_two_wk_gainers_mutual_funds_europe
143,fifty_two_wk_losers
144,fifty_two_wk_losers_asia
145,fifty_two_wk_losers_cryptocurrencies
146,fifty_two_wk_losers_etfs
147,fifty_two_wk_losers_etfs_asia
148,fifty_two_wk_losers_etfs_europe
149,fifty_two_wk_losers_europe
150,fifty_two_wk_losers_mutual_funds
151,fifty_two_wk_losers_mutual_funds_asia
152,fifty_two_wk_losers_mutual_funds_europe
153,financial_conglomerates
154,financial_data_stock_exchanges
155,food_distribution
156,footwear_accessories
157,furnishings_fixtures_appliances
158,gambling
159,gold
160,grocery_stores
161,growth_technology_stocks
162,health_information_services
163,healthcare_plans
164,high_growth_large_etfs
165,high_growth_large_mutual_funds
166,high_yield_bond
167,high_yield_high_return
168,high_yield_high_return_asia
169,high_yield_high_return_europe
170,home_improvement_retail
171,household_personal_products
172,industrial_distribution
173,information_technology_services
174,infrastructure_operations
175,insurance_brokers
176,insurance_diversified
177,insurance_life
178,insurance_property_casualty
179,insurance_reinsurance
180,insurance_specialty
181,integrated_freight_logistics
182,internet_content_information
183,internet_retail
184,large_blend_etfs
185,large_blend_mutual_funds
186,largest_market_cap
187,largest_market_cap_asia
188,largest_market_cap_cryptocurrencies
189,largest_market_cap_europe
190,latest_analyst_upgraded_stocks
