screen,symbol,averageAnalystRating,regularMarketPrice,customPriceAlertConfidence,fiftyTwoWeekRange,sharesOutstanding,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketVolume,averageDailyVolume10Day,averageDailyVolume3Month,marketCap,bookValue,longName
copper,SCCO,3.8 - Underperform,83.14,LOW,64.66 - 88.4,773110016.0,64.66,88.4,630356.0,830460.0,977178.0,64276365312.0,10.018,Southern Copper Corporation
copper,FCX,2.3 - Buy,40.94,LOW,32.83 - 46.73,1433980032.0,32.83,46.73,7622495.0,9258640.0,11173113.0,58707140608.0,11.478,Freeport-McMoRan Inc.
copper,HBM,1.9 - Buy,5.6,LOW,3.94 - 6.34,348908000.0,3.94,6.34,1878346.0,1494640.0,2044049.0,1953884800.0,5.86,Hudbay Minerals Inc.
copper,ERO,,15.54,LOW,11.35 - 24.38,102448000.0,11.35,24.38,86829.0,212080.0,326291.0,1596284288.0,6.783,Ero Copper Corp.
copper,MTAL,1.7 - Buy,11.2,LOW,8.49 - 13.1,50236500.0,8.49,13.1,5719.0,10870.0,10434.0,562648768.0,7.462,Metals Acquisition Limited
day_gainers,WIT,4.3 - Underperform,6.28,LOW,4.32 - 6.39,5217090048.0,4.32,6.39,15253464.0,3972470.0,1998839.0,32763326464.0,134.032,Wipro Limited
day_gainers,UEC,1.9 - Buy,7.77,LOW,2.3 - 7.83,392980000.0,2.3,7.83,29244922.0,8252430.0,7740191.0,3053454592.0,1.751,Uranium Energy Corp.
day_gainers,NXE,1.8 - Buy,7.84,LOW,3.49 - 7.84,522827008.0,3.49,7.84,17354272.0,6579290.0,5570544.0,4102499840.0,1.214,NexGen Energy Ltd.
day_gainers,KBGGY,,27.3,LOW,21.52 - 27.3,351808992.0,21.52,27.3,17700.0,2162.0,318.0,9604384768.0,84.692,Kongsberg Gruppen ASA
day_gainers,GTBIF,1.7 - Buy,12.55,LOW,6.42 - 12.55,210096000.0,6.42,12.55,738177.0,403870.0,361295.0,3005662464.0,7.213,Green Thumb Industries Inc.
day_gainers,ATZAF,,26.135,LOW,15.0 - 36.8269,90013296.0,15.0,36.8269,107149.0,68107.0,30102.0,2879031552.0,6.983,Aritzia Inc.
day_gainers,IDYA,1.4 - Strong Buy,39.74,HIGH,13.29 - 40.14,69013296.0,13.29,40.14,2833861.0,1447340.0,1053167.0,2742588416.0,8.666,"IDEAYA Biosciences, Inc."
day_gainers,RICFY,,14.035,LOW,11.445 - 14.035,823977024.0,11.445,14.035,31973.0,4088.0,3756.0,11564517376.0,8.384,Recordati Industria Chimica e Farmaceutica S.p.A.
day_gainers,CCJ,1.7 - Buy,49.92,LOW,23.69 - 51.22,433864992.0,23.69,51.22,17501541.0,5807130.0,5129416.0,21710606336.0,14.085,Cameco Corporation
day_gainers,BRZE,1.9 - Buy,53.37,HIGH,25.76 - 58.67,68582704.0,25.76,58.67,1420149.0,745040.0,774111.0,5328588800.0,4.417,"Braze, Inc."
day_gainers,SRUUF,,23.96,LOW,10.65 - 24.0,248498000.0,10.65,24.0,1092723.0,1080200.0,648898.0,5956551680.0,,Sprott Physical Uranium Trust Fund
day_gainers,APLS,1.9 - Buy,70.23,HIGH,19.83 - 94.75,118500000.0,19.83,94.75,2407028.0,2259490.0,2261829.0,8322255360.0,1.962,"Apellis Pharmaceuticals, Inc."
day_gainers,GFI,2.8 - Hold,13.25,LOW,8.89 - 17.78,893540992.0,8.89,17.78,7429786.0,5563070.0,4761952.0,11839418368.0,4.788,Gold Fields Limited
day_gainers,BKKLY,,21.775,LOW,20.13 - 25.77,381768992.0,20.13,25.77,51185.0,9680.0,4688.0,8313019904.0,276.669,Bangkok Bank Public Company Limited
day_gainers,RCRUY,,8.54,LOW,4.83 - 8.62,7790190080.0,4.83,8.62,186065.0,169850.0,542898.0,66832334848.0,1261.118,"Recruit Holdings Co., Ltd."
day_gainers,SQNNY,,19.866,LOW,16.03 - 26.5,239456992.0,16.03,26.5,17123.0,2049.0,539.0,4757052416.0,2671.791,"Square Enix Holdings Co., Ltd."
day_gainers,TDC,2.1 - Buy,47.87,LOW,32.33 - 57.73,97800000.0,32.33,57.73,1300003.0,829060.0,876957.0,4681686016.0,1.246,Teradata Corporation
day_gainers,PAAS,1.9 - Buy,15.49,LOW,13.13 - 19.85,364439008.0,13.13,19.85,3550378.0,2822450.0,3238270.0,5656699904.0,13.303,Pan American Silver Corp.
day_gainers,FLMMF,,17.67,LOW,12.031 - 20.08,130709000.0,12.031,20.08,31087.0,22740.0,22790.0,2315017472.0,1.029,Filo Corp.
day_gainers,FRCOY,3.0 - Hold,26.732,LOW,19.163334 - 27.18,3066990080.0,19.163334,27.18,30243.0,42920.0,31124.0,82309169152.0,6137.086,"Fast Retailing Co., Ltd."
day_gainers,EGO,2.4 - Buy,12.72,LOW,8.12 - 13.71,202867008.0,8.12,13.71,1213296.0,1300280.0,1826816.0,2584869376.0,16.848,Eldorado Gold Corporation
day_gainers,SBSW,2.8 - Hold,5.14,LOW,4.0 - 12.01,707641984.0,4.0,12.01,7871778.0,4834210.0,6175052.0,3637279744.0,34.265,Sibanye Stillwater Limited
day_gainers,HMY,4.0 - Underperform,5.87,LOW,2.93 - 6.58,619934976.0,2.93,6.58,3531001.0,3667300.0,4675408.0,3727890176.0,56.239,Harmony Gold Mining Company Limited
day_gainers,KGC,2.4 - Buy,5.89,LOW,3.4 - 6.34,1227699968.0,3.4,6.34,12302247.0,11703840.0,13590786.0,7231152640.0,4.936,Kinross Gold Corporation
day_gainers,OR,3.3 - Hold,14.5,LOW,11.24 - 17.96,185166000.0,11.24,17.96,886557.0,632350.0,946290.0,2691431936.0,9.386,Osisko Gold Royalties Ltd
day_gainers_cryptocurrencies,TINU-USD,,0.00039392748,LOW,0.0 - 4.230038E-4,,0.0,0.0004230038,113351.0,78.0,8.0,0.0,,Telegram Inu USD
day_gainers_cryptocurrencies,GOBNB-USD,,2.033884e-09,LOW,2.0161197E-9 - 2.0864697E-9,,2.0161197e-09,2.0864697e-09,51882.0,,,0.0,,
day_gainers_cryptocurrencies,TON6890-USD,,2.8428254,LOW,0.006757 - 5.483087,,0.006757,5.483087,140882.0,6104.0,12654.0,0.0,,TON Token USD
day_gainers_cryptocurrencies,SMILEY-USD,,3.5401886e-11,LOW,1.2636002E-11 - 3.6527798E-11,,1.2636002e-11,3.6527798e-11,13570418.0,,,0.0,,SMILEY USD
day_gainers_cryptocurrencies,MT21941-USD,,0.0012990329,LOW,7.0E-5 - 0.050063,,7e-05,0.050063,1207614.0,51479.0,126269.0,0.0,,MT Token USD
