symbol,strike,expiration,calls-oi,puts-oi,calls-vol,puts-vol,flag,P/C
AAPL,5,3/15/2024,0,,4,,C,0
AAPL,5,6/21/2024,0,,574,,C,0
AAPL,5,9/20/2024,0,0,12,0,C,0
AAPL,10,6/21/2024,0,,0,,C,0
AAPL,10,9/20/2024,0,0,358,0,C,0
AAPL,15,6/21/2024,0,,0,,C,0
AAPL,15,9/20/2024,0,0,0,42,P,#DIV/0!
AAPL,20,3/15/2024,0,,2,,C,0
AAPL,20,6/21/2024,0,,2,,C,0
AAPL,20,9/20/2024,0,,0,,C,0
AAPL,25,9/20/2024,0,,0,,C,0
AAPL,30,6/21/2024,0,,0,,C,0
AAPL,30,9/20/2024,0,,126,,C,0
AAPL,35,6/21/2024,0,,288,,C,0
AAPL,35,9/20/2024,0,0,692,19,C,0.027456647
AAPL,40,3/15/2024,0,,1,,C,0
AAPL,40,6/21/2024,0,0,0,0,C,0
AAPL,40,9/20/2024,0,,0,,C,0
AAPL,45,9/20/2024,0,,0,,C,0
AAPL,50,1/19/2024,0,0,6,2,C,0.333333333
AAPL,50,1/26/2024,,0,,2,P,#DIV/0!
AAPL,50,2/16/2024,0,0,14,28,P,2
AAPL,50,3/15/2024,0,0,1,2,P,2
AAPL,50,5/17/2024,0,0,4,33,P,8.25
AAPL,50,6/21/2024,0,0,1,25,P,25
AAPL,50,9/20/2024,0,0,20,175,P,8.75
AAPL,50,12/20/2024,0,0,1,1,C,1
AAPL,50,1/17/2025,0,0,31,1,C,0.032258065
AAPL,50,6/20/2025,0,0,87,14,C,0.16091954
AAPL,50,9/19/2025,0,0,4,1,C,0.25
AAPL,50,12/19/2025,0,0,4,7,P,1.75
AAPL,50,1/16/2026,0,0,1,3,P,3
AAPL,50,6/18/2026,0,0,2,15,P,7.5
AAPL,55,1/19/2024,0,0,1,2,P,2
AAPL,55,2/16/2024,0,136,1,108,P,108
AAPL,55,3/15/2024,0,999,2,3,P,1.5
AAPL,55,5/17/2024,,0,,0,C,0
AAPL,55,6/21/2024,0,0,3,1,C,0.333333333
AAPL,55,9/20/2024,0,0,1,50,P,50
AAPL,55,12/20/2024,124,0,1,1,C,1
AAPL,55,1/17/2025,0,0,4,1,C,0.25
AAPL,55,6/20/2025,0,279,17,1,C,0.058823529
AAPL,55,9/19/2025,0,0,3,10,P,3.333333333
AAPL,55,12/19/2025,95,0,18,8,C,0.444444444
AAPL,55,1/16/2026,0,0,2,2,C,1
AAPL,55,6/18/2026,0,0,0,0,C,0
AAPL,60,1/19/2024,0,0,1,1274,P,1274
AAPL,60,2/16/2024,0,88,4,1,C,0.25
AAPL,60,3/15/2024,0,702,1,30,P,30
AAPL,60,5/17/2024,,0,,226,P,#DIV/0!
AAPL,60,6/21/2024,0,0,4,100,P,25
AAPL,60,9/20/2024,0,0,1,4,P,4
AAPL,60,12/20/2024,0,91,6,3,C,0.5
AAPL,60,1/17/2025,0,0,8,1,C,0.125
AAPL,60,6/20/2025,89,0,20,1,C,0.05
AAPL,60,9/19/2025,21,1,0,0,C,0
AAPL,60,12/19/2025,0,0,1,3,P,3
AAPL,60,1/16/2026,0,0,1,4,P,4
AAPL,60,6/18/2026,0,,0,,C,0
AAPL,65,1/19/2024,0,0,9,1,C,0.111111111
AAPL,65,2/16/2024,0,353,1,40,P,40
AAPL,65,3/15/2024,0,0,1,10,P,10
AAPL,65,6/21/2024,0,0,19,1,C,0.052631579
AAPL,65,9/20/2024,0,0,5,1,C,0.2
AAPL,65,12/20/2024,0,0,2,1,C,0.5
AAPL,65,1/17/2025,0,0,1,5,P,5
AAPL,65,6/20/2025,240,0,1,3,P,3
AAPL,65,9/19/2025,0,1,0,0,C,0
AAPL,65,12/19/2025,0,0,2,1,C,0.5
AAPL,65,1/16/2026,0,0,8,1,C,0.125
AAPL,65,6/18/2026,0,,0,,C,0
AAPL,70,1/19/2024,0,0,5,6,P,1.2
AAPL,70,2/16/2024,0,0,1,5,P,5
AAPL,70,3/15/2024,0,0,95,10,C,0.105263158
AAPL,70,5/17/2024,,0,,15,P,#DIV/0!
AAPL,70,6/21/2024,0,0,1,10,P,10
AAPL,70,9/20/2024,229,0,1,4,P,4
AAPL,70,12/20/2024,29,0,1,1,C,1
AAPL,70,1/17/2025,0,0,1,31,P,31
AAPL,70,6/20/2025,0,0,10,3,C,0.3
AAPL,70,9/19/2025,0,0,8,7,C,0.875
AAPL,70,12/19/2025,485,0,33,4,C,0.121212121
AAPL,70,1/16/2026,0,0,1,1,C,1
AAPL,75,1/19/2024,0,0,1,1,C,1
AAPL,75,1/26/2024,,0,,10,P,#DIV/0!
AAPL,75,2/2/2024,0,,1,,C,0
AAPL,75,2/16/2024,0,0,154,1,C,0.006493506
AAPL,75,3/15/2024,342,0,1,1,C,1
AAPL,75,5/17/2024,,0,,1,P,#DIV/0!
AAPL,75,6/21/2024,0,0,3,20,P,6.666666667
AAPL,75,9/20/2024,0,0,1,2,P,2
AAPL,75,12/20/2024,0,0,1,4,P,4
AAPL,75,1/17/2025,0,0,7,12,P,1.714285714
AAPL,75,6/20/2025,0,0,1,18,P,18
AAPL,75,9/19/2025,1,0,0,2,P,#DIV/0!
