,,,openInterest,openInterest,volume,volume
optionType,,,calls,puts,calls,puts
symbol,strike,expiration,,,,
AAPL,5.0,2024-03-15,2.0,,1.0,
AAPL,5.0,2024-06-21,341.0,,7.0,
AAPL,5.0,2024-09-20,199.0,1.0,143.0,0.0
AAPL,10.0,2024-06-21,12.0,,0.0,
AAPL,10.0,2024-09-20,187.0,1.0,5.0,0.0
AAPL,15.0,2024-06-21,3.0,,0.0,
AAPL,15.0,2024-09-20,179.0,5016.0,0.0,3047.0
AAPL,20.0,2024-03-15,0.0,,2.0,
AAPL,20.0,2024-06-21,1.0,,2.0,
AAPL,20.0,2024-09-20,2.0,724.0,0.0,684.0
AAPL,25.0,2024-09-20,2.0,,0.0,
AAPL,30.0,2024-06-21,95.0,,0.0,
AAPL,30.0,2024-09-20,75.0,,12.0,
AAPL,35.0,2024-06-21,149.0,,9.0,
AAPL,35.0,2024-09-20,347.0,454.0,1.0,120.0
AAPL,40.0,2024-03-15,2.0,,1.0,
AAPL,40.0,2024-06-21,113.0,1.0,0.0,0.0
AAPL,40.0,2024-09-20,133.0,,143.0,
AAPL,45.0,2024-06-21,,1.0,,1.0
AAPL,45.0,2024-09-20,11.0,,0.0,
AAPL,50.0,2024-01-26,,3.0,,1.0
AAPL,50.0,2024-02-16,24.0,251.0,2.0,28.0
AAPL,50.0,2024-03-15,783.0,5914.0,1.0,10.0
AAPL,50.0,2024-05-17,4.0,903.0,4.0,33.0
AAPL,50.0,2024-06-21,1176.0,14874.0,2.0,11.0
AAPL,50.0,2024-09-20,2227.0,953.0,14.0,3.0
AAPL,50.0,2024-12-20,58.0,528.0,1.0,13.0
AAPL,50.0,2025-01-17,1233.0,5192.0,1.0,30.0
AAPL,50.0,2025-06-20,514.0,392.0,87.0,14.0
AAPL,50.0,2025-09-19,10.0,14.0,1.0,1.0
AAPL,50.0,2025-12-19,224.0,1603.0,1.0,1.0
AAPL,50.0,2026-01-16,93.0,381.0,1.0,16.0
AAPL,50.0,2026-06-18,36.0,19.0,10.0,2.0
AAPL,55.0,2024-02-16,1.0,136.0,1.0,108.0
AAPL,55.0,2024-03-15,1026.0,999.0,2.0,3.0
AAPL,55.0,2024-05-17,,479.0,,35.0
AAPL,55.0,2024-06-21,1037.0,1443.0,3.0,1.0
AAPL,55.0,2024-09-20,670.0,61.0,1.0,12.0
AAPL,55.0,2024-12-20,124.0,38.0,1.0,12.0
AAPL,55.0,2025-01-17,1463.0,532.0,18.0,20.0
AAPL,55.0,2025-06-20,401.0,279.0,17.0,1.0
AAPL,55.0,2025-09-19,82.0,17.0,3.0,10.0
AAPL,55.0,2025-12-19,95.0,272.0,18.0,2.0
AAPL,55.0,2026-01-16,233.0,23.0,8.0,10.0
AAPL,55.0,2026-06-18,1.0,2.0,1.0,0.0
AAPL,60.0,2024-01-26,0.0,,2.0,
AAPL,60.0,2024-02-16,7.0,88.0,4.0,1.0
AAPL,60.0,2024-03-15,409.0,702.0,1.0,30.0
AAPL,60.0,2024-05-17,,233.0,,10.0
AAPL,60.0,2024-06-21,1059.0,1842.0,4.0,100.0
AAPL,60.0,2024-09-20,792.0,190.0,1.0,4.0
AAPL,60.0,2024-12-20,103.0,98.0,3.0,11.0
AAPL,60.0,2025-01-17,527.0,666.0,30.0,11.0
AAPL,60.0,2025-06-20,89.0,169.0,20.0,1.0
AAPL,60.0,2025-09-19,21.0,1.0,0.0,0.0
AAPL,60.0,2025-12-19,241.0,368.0,1.0,3.0
AAPL,60.0,2026-01-16,102.0,15.0,1.0,1.0
AAPL,60.0,2026-06-18,11.0,,1.0,
AAPL,65.0,2024-02-16,1.0,353.0,1.0,40.0
AAPL,65.0,2024-03-15,109.0,491.0,1.0,10.0
AAPL,65.0,2024-06-21,1898.0,411.0,19.0,1.0
AAPL,65.0,2024-09-20,239.0,347.0,20.0,1.0
AAPL,65.0,2024-12-20,19.0,1136.0,2.0,2.0
AAPL,65.0,2025-01-17,570.0,754.0,3.0,15.0
AAPL,65.0,2025-06-20,240.0,191.0,1.0,3.0
AAPL,65.0,2025-09-19,13.0,1.0,0.0,0.0
AAPL,65.0,2025-12-19,244.0,168.0,20.0,1.0
AAPL,65.0,2026-01-16,108.0,16.0,20.0,3.0
