symbol,expiration,optionType,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,lastTradeDate,impliedVolatility,inTheMoney,break_even,futurePrice,return
RIVN,2024-03-15,calls,RIVN240315C00040000,40.0,USD,0.01,-0.02,-66.66667,36.0,9606,0.01,0.03,REGULAR,2024-01-25 15:32:45,1.0781296093750001,False,40.01,-10.0,-1001.0
RIVN,2024-01-26,calls,RIVN240126C00035000,35.0,USD,0.01,0.0,0.0,1.0,892,0.0,0.02,REGULAR,2024-01-22 14:36:58,4.500004375,False,35.01,-5.0,-501.0
RIVN,2024-02-09,calls,RIVN240209C00035000,35.0,USD,0.01,0.0,0.0,0.0,35,0.0,0.03,REGULAR,2024-01-04 14:36:00,1.65625171875,False,35.01,-5.0,-501.0
RIVN,2024-02-16,calls,RIVN240216C00035000,35.0,USD,0.01,0.0,0.0,1.0,919,0.01,0.02,REGULAR,2024-01-24 17:22:30,1.3750031249999999,False,35.01,-5.0,-501.0
RIVN,2025-01-17,calls,RIVN250117C00080000,80.0,USD,0.1,-0.019999996,-16.666664,23.0,12962,0.11,0.13,REGULAR,2024-01-25 14:50:20,0.7753928710937501,False,80.1,-50.0,-501.0
RIVN,2025-01-17,calls,RIVN250117C00075000,75.0,USD,0.11,-0.040000007,-26.666672,1.0,4998,0.01,0.14,REGULAR,2024-01-25 15:13:28,0.7070341796875,False,75.11,-45.0,-410.09
FSR,2024-02-16,calls,FSR240216C00013000,13.0,USD,0.01,0.0,0.0,10.0,187,0.0,0.04,REGULAR,2024-01-10 18:13:01,5.312503359374999,False,13.01,-3.0,-301.0
RIVN,2025-01-17,calls,RIVN250117C00070000,70.0,USD,0.18,0.0,0.0,11.0,1757,0.13,0.16,REGULAR,2024-01-24 20:49:14,0.7490259472656251,False,70.18,-40.0,-223.22
RIVN,2024-02-02,calls,RIVN240202C00032000,32.0,USD,0.01,0.0,0.0,7.0,134,0.0,0.01,REGULAR,2024-01-22 16:00:20,1.8125009374999999,False,32.01,-2.0,-201.0
RIVN,2024-03-15,calls,RIVN240315C00037500,37.5,USD,0.04,0.01,33.333336,1.0,5457,0.01,0.05,REGULAR,2024-01-25 14:30:05,1.0703171484375003,False,37.54,-7.5,-188.5
RIVN,2025-01-17,calls,RIVN250117C00065000,65.0,USD,0.21,-0.010000005,-4.545457,6.0,4529,0.17,0.2,REGULAR,2024-01-25 15:17:50,0.7500025,False,65.21,-35.0,-167.67
RIVN,2025-01-17,calls,RIVN250117C00060000,60.0,USD,0.22,-0.050000012,-18.518522,9.0,2982,0.21,0.24,REGULAR,2024-01-25 15:27:51,0.74414318359375,False,60.22,-30.0,-137.36
RIVN,2024-06-21,calls,RIVN240621C00040000,40.0,USD,0.09,-0.009999998,-9.999998,114.0,12998,0.07,0.1,REGULAR,2024-01-25 15:04:35,0.76367423828125,False,40.09,-10.0,-112.11
FSR,2024-04-19,calls,FSR240419C00012000,12.0,USD,0.02,0.0,0.0,15.0,253,0.0,0.22,REGULAR,2024-01-22 14:55:41,3.7343756640625,False,12.02,-2.0,-101.0
FSR,2024-05-17,calls,FSR240517C00012000,12.0,USD,0.02,0.0,0.0,16.0,727,0.0,0.06,REGULAR,2024-01-09 15:16:34,2.50000375,False,12.02,-2.0,-101.0
RIVN,2024-02-16,calls,RIVN240216C00032500,32.5,USD,0.03,0.0,0.0,13.0,296,0.0,0.05,REGULAR,2024-01-19 20:24:34,1.359378203125,False,32.53,-2.5,-84.33
RIVN,2024-03-15,calls,RIVN240315C00032500,32.5,USD,0.03,-0.020000001,-40.000004,1.0,2144,0.03,0.05,REGULAR,2024-01-25 14:30:01,0.9726565234375,False,32.53,-2.5,-84.33
FSR,2025-01-17,calls,FSR250117C00017000,17.0,USD,0.09,0.040000003,80.00001,5.0,9539,0.04,0.08,REGULAR,2024-01-24 17:12:27,1.71875140625,False,17.09,-7.0,-78.78
RIVN,2025-01-17,calls,RIVN250117C00055000,55.0,USD,0.34,0.0,0.0,6.0,888,0.27,0.3,REGULAR,2024-01-24 20:47:31,0.7412135253906249,False,55.34,-25.0,-74.53
RIVN,2024-03-15,calls,RIVN240315C00035000,35.0,USD,0.07,0.04,133.33334,50.0,4734,0.02,0.06,REGULAR,2024-01-25 15:25:48,1.0468797656250002,False,35.07,-5.0,-72.43
FSR,2025-01-17,calls,FSR250117C00015000,15.0,USD,0.08,0.0,0.0,20.0,5666,0.02,0.09,REGULAR,2024-01-24 17:12:57,1.6484392578125,False,15.08,-5.0,-63.5
FSR,2024-05-17,calls,FSR240517C00013000,13.0,USD,0.05,0.0,0.0,1.0,515,0.0,0.05,REGULAR,2024-01-23 14:49:50,2.468753828125,False,13.05,-3.0,-61.0
RIVN,2025-01-17,calls,RIVN250117C00050000,50.0,USD,0.38,-0.030000001,-7.317074,127.0,6946,0.35,0.38,REGULAR,2024-01-25 15:14:11,0.737307314453125,False,50.38,-20.0,-53.63
