,screen_name
0,advertising_agencies
1,aerospace_defense
2,aggressive_small_caps
3,agricultural_inputs
4,airlines
5,airports_air_services
6,all_cryptocurrencies_au
7,all_cryptocurrencies_ca
8,all_cryptocurrencies_eu
9,all_cryptocurrencies_gb
10,all_cryptocurrencies_in
11,all_cryptocurrencies_us
12,aluminum
13,apparel_manufacturing
14,apparel_retail
15,asset_management
16,auto_manufacturers
17,auto_parts
18,auto_truck_dealerships
19,banks_diversified
20,banks_regional
21,bearish_stocks_right_now
22,best_hist_performance_etfs
23,best_hist_performance_etfs_asia
24,best_hist_performance_etfs_europe
25,best_hist_performance_mutual_funds
26,best_hist_performance_mutual_funds_asia
27,best_hist_performance_mutual_funds_europe
28,beverages_brewers
29,beverages_non_alcoholic
30,beverages_wineries_distilleries
31,biotechnology
32,bond_etfs
33,bond_mutual_funds
34,bond_mutual_funds_asia
35,bond_mutual_funds_europe
36,broadcasting
37,building_materials
38,building_products_equipment
39,bullish_stocks_right_now
40,business_equipment_supplies
41,capital_markets
42,cheapest_etfs
43,cheapest_etfs_asia
44,cheapest_etfs_europe
45,cheapest_mutual_funds
46,cheapest_mutual_funds_asia
47,cheapest_mutual_funds_europe
48,chemicals
49,coking_coal
50,commodity_etfs
51,commodity_etfs_asia
52,commodity_etfs_europe
53,commodity_mutual_funds
54,communication_equipment
55,community_sentiment_most_bearish
56,community_sentiment_most_bullish
57,computer_hardware
58,confectioners
59,conglomerates
60,conservative_foreign_funds
61,consulting_services
62,consumer_electronics
63,copper
64,credit_services
65,day_gainers
66,day_gainers_americas
67,day_gainers_asia
68,day_gainers_au
69,day_gainers_br
70,day_gainers_ca
71,day_gainers_cryptocurrencies
72,day_gainers_de
73,day_gainers_dji
74,day_gainers_es
75,day_gainers_etfs
76,day_gainers_etfs_asia
77,day_gainers_etfs_europe
78,day_gainers_europe
79,day_gainers_fr
80,day_gainers_gb
81,day_gainers_hk
82,day_gainers_in
83,day_gainers_it
84,day_gainers_mutual_funds
85,day_gainers_mutual_funds_asia
86,day_gainers_mutual_funds_europe
87,day_gainers_ndx
88,day_gainers_nz
89,day_gainers_options
90,day_gainers_sg
91,day_losers
92,day_losers_americas
93,day_losers_asia
94,day_losers_au
95,day_losers_br
96,day_losers_ca
97,day_losers_cryptocurrencies
98,day_losers_de
99,day_losers_dji
100,day_losers_es
101,day_losers_etfs
102,day_losers_etfs_asia
103,day_losers_etfs_europe
104,day_losers_europe
105,day_losers_fr
106,day_losers_gb
107,day_losers_hk
108,day_losers_in
109,day_losers_it
110,day_losers_mutual_funds
111,day_losers_mutual_funds_asia
112,day_losers_mutual_funds_europe
113,day_losers_ndx
114,day_losers_nz
115,day_losers_options
116,day_losers_sg
117,department_stores
118,diagnostics_research
119,discount_stores
120,drug_manufacturers_general
121,drug_manufacturers_specialty_generic
122,education_training_services
123,electrical_equipment_parts
124,electronic_components
125,electronic_gaming_multimedia
126,electronics_computer_distribution
127,engineering_construction
128,entertainment
129,equity_mutual_funds
130,farm_heavy_construction_machinery
131,farm_products
132,fifty_two_wk_gainers
133,fifty_two_wk_gainers_asia
134,fifty_two_wk_gainers_cryptocurrencies
135,fifty_two_wk_gainers_etfs
136,fifty_two_wk_gainers_etfs_asia
137,fifty_two_wk_gainers_etfs_europe
138,fifty_two_wk_gainers_europe
139,fifty_two_wk_gainers_mutual_funds
140,fifty_two_wk_gainers_mutual_funds_asia
141,fifty_two_wk_gainers_mutual_funds_europe
142,fifty_two_wk_losers
143,fifty_two_wk_losers_asia
144,fifty_two_wk_losers_cryptocurrencies
145,fifty_two_wk_losers_etfs
146,fifty_two_wk_losers_etfs_asia
147,fifty_two_wk_losers_etfs_europe
148,fifty_two_wk_losers_europe
149,fifty_two_wk_losers_mutual_funds
150,fifty_two_wk_losers_mutual_funds_asia
151,fifty_two_wk_losers_mutual_funds_europe
152,financial_conglomerates
153,financial_data_stock_exchanges
154,food_distribution
155,footwear_accessories
156,furnishings_fixtures_appliances
157,gambling
158,gold
159,grocery_stores
160,growth_technology_stocks
161,health_information_services
162,healthcare_plans
163,high_growth_large_etfs
164,high_growth_large_mutual_funds
165,high_yield_bond
166,high_yield_high_return
167,high_yield_high_return_asia
168,high_yield_high_return_europe
169,home_improvement_retail
170,household_personal_products
171,industrial_distribution
172,information_technology_services
173,insurance_brokers
174,insurance_diversified
175,insurance_life
176,insurance_property_casualty
177,insurance_reinsurance
178,insurance_specialty
179,integrated_freight_logistics
180,internet_content_information
181,internet_retail
182,large_blend_etfs
183,large_blend_mutual_funds
184,largest_market_cap
185,largest_market_cap_asia
186,largest_market_cap_cryptocurrencies
187,largest_market_cap_europe
188,leisure
189,lodging
190,low_risk_mutual_funds
191,low_risk_mutual_funds_asia
